edges,variation_of_information,retrievability,stability
1,1.05512497159,0.16079999999999967,0.19999999999999962
1,1.05368872356,0.04240000000000003,0.08000000000000006
1,1.09147258413,0.19519999999999998,0.2399999999999996
1,0.942683189255,-0.19999999999999962,-0.19999999999999962
1,0.989587521222,0.1199999999999998,0.1199999999999998
1,0.989587521222,0.04000000000000003,0.04000000000000003
1,0.998845535995,0.0,0.0
1,0.989587521222,0.04000000000000003,0.04000000000000003
1,0.970950594455,-0.1199999999999998,-0.1199999999999998
1,0.904381457724,-0.04000000000000003,-0.04000000000000003
1,0.942683189255,-0.08000000000000006,-0.08000000000000006
1,0.970950594455,0.0,0.0
1,0.970950594455,-0.1199999999999998,-0.1199999999999998
1,0.989587521222,0.04000000000000003,0.04000000000000003
1,0.904381457724,-0.16000000000000011,-0.16000000000000011
1,0.942683189255,-0.16000000000000011,-0.16000000000000011
1,0.942683189255,-0.16000000000000011,-0.16000000000000011
1,0.970950594455,-0.04000000000000003,-0.04000000000000003
1,0.989587521222,0.08000000000000006,0.08000000000000006
1,0.989587521222,-0.1199999999999998,-0.1199999999999998
1,0.904381457724,-0.1199999999999998,-0.1199999999999998
1,0.904381457724,-0.32000000000000023,-0.32000000000000023
1,1.10264385939,0.035200000000000016,0.08000000000000006
1,0.942683189255,0.0,0.0
1,1.1051376959,0.09039999999999998,0.1199999999999998
1,0.970950594455,0.08000000000000006,0.08000000000000006
1,0.989587521222,0.04000000000000003,0.04000000000000003
1,0.970950594455,0.16000000000000011,0.16000000000000011
1,0.989587521222,-0.08000000000000006,-0.08000000000000006
1,0.942683189255,-0.16000000000000011,-0.16000000000000011
1,0.904381457724,0.1199999999999998,0.1199999999999998
1,0.998845535995,0.0,0.0
1,0.904381457724,0.2399999999999996,0.2399999999999996
1,0.970950594455,0.1199999999999998,0.1199999999999998
1,0.970950594455,-0.16000000000000011,-0.16000000000000011
1,0.964071250545,0.24159999999999995,0.28000000000000036
1,0.904381457724,-0.28000000000000036,-0.28000000000000036
1,0.952829227466,0.2416,0.28000000000000036
1,0.989587521222,0.0,0.0
1,0.970950594455,-0.08000000000000006,-0.08000000000000006
1,0.970950594455,0.1199999999999998,0.1199999999999998
1,0.989587521222,-0.08000000000000006,-0.08000000000000006
1,0.970950594455,-0.16000000000000011,-0.16000000000000011
1,0.954708145789,-0.04320000000000002,0.0
1,0.970950594455,0.16000000000000011,0.16000000000000011
1,1.11531934764,0.11520000000000008,0.16000000000000011
1,0.970950594455,-0.04000000000000003,-0.04000000000000003
1,1.09867458656,0.003999999999999992,0.04000000000000003
1,0.970950594455,0.1199999999999998,0.1199999999999998
1,0.942683189255,0.19999999999999962,0.19999999999999962
1,1.10976670329,-0.03280000000000002,0.0
1,0.989587521222,-0.08000000000000006,-0.08000000000000006
1,0.942683189255,-0.19999999999999962,-0.19999999999999962
1,0.998845535995,0.04000000000000003,0.04000000000000003
1,0.942683189255,0.16000000000000011,0.16000000000000011
1,0.904381457724,-0.08000000000000006,-0.08000000000000006
1,0.989587521222,0.08000000000000006,0.08000000000000006
1,0.942683189255,0.04000000000000003,0.04000000000000003
1,0.989587521222,-0.08000000000000006,-0.08000000000000006
1,0.989587521222,0.04000000000000003,0.04000000000000003
1,0.970950594455,0.19999999999999962,0.19999999999999962
1,0.721928094887,-0.4799999999999992,-0.4799999999999992
1,0.942683189255,-0.04000000000000003,-0.04000000000000003
1,0.904381457724,0.08000000000000006,0.08000000000000006
1,1.07405731527,-0.15599999999999967,-0.1199999999999998
1,0.989587521222,0.0,0.0
1,1.09310877023,0.0023999999999999937,0.04000000000000003
1,0.989587521222,-0.08000000000000006,-0.08000000000000006
1,0.85545081056,0.1199999999999998,0.1199999999999998
1,1.06788728408,-0.08160000000000003,-0.04000000000000003
1,0.989587521222,0.08000000000000006,0.08000000000000006
1,0.989587521222,0.04000000000000003,0.04000000000000003
1,0.989587521222,-0.04000000000000003,-0.04000000000000003
1,0.970950594455,0.08000000000000006,0.08000000000000006
1,1.11254302546,0.12400000000000007,0.16000000000000011
1,0.998845535995,-0.04000000000000003,-0.04000000000000003
1,0.970950594455,-0.1199999999999998,-0.1199999999999998
1,1.04986407302,0.23999999999999994,0.28000000000000036
1,0.942683189255,0.28000000000000036,0.28000000000000036
1,0.85545081056,0.28000000000000036,0.28000000000000036
1,0.970950594455,-0.04000000000000003,-0.04000000000000003
1,1.09534650374,-0.07920000000000005,-0.04000000000000003
1,0.942683189255,-0.08000000000000006,-0.08000000000000006
1,0.904381457724,0.08000000000000006,0.08000000000000006
1,0.85545081056,0.2399999999999996,0.2399999999999996
1,0.942683189255,-0.19999999999999962,-0.19999999999999962
1,0.942683189255,0.16000000000000011,0.16000000000000011
1,1.0954680768,0.008800000000000013,0.04000000000000003
1,0.85545081056,0.08000000000000006,0.08000000000000006
1,0.970950594455,-0.1199999999999998,-0.1199999999999998
1,0.989587521222,0.04000000000000003,0.04000000000000003
1,1.1033113508,0.034400000000000014,0.08000000000000006
1,0.970950594455,-0.19999999999999962,-0.19999999999999962
1,1.09946356946,0.03200000000000002,0.08000000000000006
1,0.989587521222,-0.08000000000000006,-0.08000000000000006
1,0.989587521222,0.1199999999999998,0.1199999999999998
1,0.942683189255,-0.04000000000000003,-0.04000000000000003
1,1.04012214376,-0.12000000000000009,-0.08000000000000006
