edges,perf
1,0.970950594455
1,0.970950594455
1,1.1319772807
1,0.970950594455
1,0.989587521222
1,0.989587521222
1,0.989587521222
1,0.989587521222
1,1.09589368192
1,1.11771803781
2,1.18031258634
2,1.12642463634
2,1.03635330707
2,0.989587521222
2,1.08200348152
2,0.942683189255
2,1.12747707006
2,1.1016000796
2,1.09378524995
2,0.942683189255
3,1.08969481733
3,0.970950594455
3,0.989587521222
3,1.17449676347
3,1.00380670402
3,1.25601572398
3,0.904381457724
3,1.04320715935
3,1.11015555044
3,1.12225446505
4,0.989587521222
4,1.09347033047
4,1.09686150069
4,1.11864039667
4,1.13027985316
4,1.25154561995
4,1.04937719053
4,1.07549061348
4,1.24737472798
4,0.970950594455
5,1.08322516821
5,1.0894748378
5,0.942683189255
5,1.1051376959
5,1.19756467267
5,1.04111763524
5,0.930137066037
5,1.05863223731
5,1.1251868662
5,1.01522673595
6,1.15455181782
6,1.12087199199
6,1.29006157937
6,1.18949624004
6,1.19592378201
6,0.970950594455
6,0.981506847516
6,1.01505394837
6,0.80198878521
6,1.38376314083
7,1.09981341481
7,0.970950594455
7,1.22414411165
7,1.04966097737
7,1.07549061348
7,1.06372822472
7,1.12768755543
7,1.1380502362
7,1.1807081293
7,1.0850573179
8,1.35252259328
8,1.00379097606
8,1.09147258413
8,1.10545680845
8,1.36540774483
8,0.942683189255
8,1.14128774971
8,1.20554994967
8,1.09147258413
8,1.09353268768
9,1.07714233086
9,1.10094776649
9,1.13043448116
9,1.1118242084
9,1.22773272504
9,1.28276987138
9,1.27396174623
9,1.32427865669
9,1.20851140512
9,1.2016828464
10,1.25776023445
10,1.20735205527
10,1.17135479728
10,1.33151762109
10,1.10421405893
10,1.33332537869
10,1.37089024002
10,1.02089804968
10,1.37956075022
10,1.18903405351
11,1.1763464508
11,1.23274720664
11,1.24342945261
11,1.38726707226
11,1.10270448503
11,1.09147258413
11,1.04505160507
11,1.10415400266
11,1.1101809486
11,1.18718384195
12,1.13028132562
12,1.1559542415
12,1.30409059626
12,1.12743934318
12,1.14898176243
12,1.24965996101
12,1.27420569973
12,1.19584197562
12,1.19965468917
12,1.26368531076
13,1.14458741982
13,1.08613410275
13,1.52068931317
13,1.28415719865
13,1.09779101434
13,1.1893118921
13,1.37360807963
13,1.03924682096
13,1.16359094478
13,1.17612590095
14,1.26849804794
14,1.18511423064
14,1.16463471629
14,1.20716904995
14,1.22962331618
14,1.19631074697
14,1.06054324004
14,1.13790489953
14,1.27717019117
14,1.3696594256
15,1.25680754345
15,1.00662426596
15,1.03703712817
15,1.45242349715
15,1.16173573789
15,1.28675660968
15,0.989758555741
15,1.19962697247
15,1.10265381386
15,1.23181862157
16,1.14634223626
16,1.44109013237
16,1.12867974222
16,0.998845535995
16,1.38005259821
16,1.46237504891
16,1.0803796307
16,1.16467092365
16,1.05554722172
16,1.21614651601
17,1.33558283447
17,1.4338020474
17,1.20376965474
17,1.1624525003
17,1.22475881604
17,1.29302903839
17,1.40717989978
17,0.962996753966
17,1.25300599268
17,1.17594470047
18,1.00782433323
18,1.39327321332
18,1.10807255253
18,1.43196435801
18,1.23653021471
18,1.27714368106
18,1.24148252102
18,1.43328228929
18,1.39474613291
18,1.11324479627
19,1.25852446769
19,1.08063780357
19,1.36873676858
19,1.40423673926
19,1.24262965182
19,1.50799776157
19,1.5104628632
19,1.23946026825
19,1.24877055982
19,1.38261307104
20,1.18092568154
20,1.42179550211
20,1.25751362194
20,1.07937053567
20,1.22077125807
20,1.34393615755
20,1.40985100453
