edges,retrievability,stability
100,0.3260000000000002,0.5959999999999984
100,0.35452000000000006,0.7319999999999994
100,0.2606399999999999,0.5480000000000013
100,0.3970000000000001,0.6319999999999992
100,0.34120000000000006,0.6520000000000006
100,0.4386,0.7199999999999993
100,0.2868800000000001,0.6559999999999994
100,0.3641600000000001,0.6520000000000006
100,0.31772,0.6120000000000004
100,0.2942400000000001,0.6559999999999994
105,0.3610400000000001,0.5840000000000013
105,0.3904000000000001,0.6959999999999993
105,0.26311999999999997,0.5919999999999992
105,0.30188000000000015,0.6559999999999994
105,0.37644000000000005,0.5679999999999994
105,0.38104000000000005,0.6919999999999996
105,0.3987600000000001,0.6480000000000014
105,0.3296800000000001,0.6280000000000001
105,0.33448,0.6360000000000011
105,0.26760000000000006,0.6919999999999996
110,0.28636,0.555999999999999
110,0.2994800000000001,0.6679999999999997
110,0.4365599999999999,0.6439999999999988
110,0.3848000000000004,0.7079999999999989
110,0.33488000000000023,0.6760000000000006
110,0.27496000000000004,0.6839999999999989
110,0.32376000000000005,0.6360000000000011
110,0.44280000000000025,0.7640000000000003
110,0.38760000000000006,0.6839999999999989
110,0.33671999999999996,0.7239999999999991
115,0.2863200000000001,0.600000000000001
115,0.30704000000000004,0.6439999999999988
115,0.31780000000000014,0.6159999999999998
115,0.44348,0.6880000000000009
115,0.4236800000000002,0.6719999999999986
115,0.40712000000000004,0.6880000000000009
115,0.37140000000000006,0.7560000000000001
115,0.34716000000000014,0.7120000000000017
115,0.37964,0.7520000000000002
115,0.4294,0.7239999999999991
120,0.31603999999999993,0.6520000000000006
120,0.36988000000000004,0.6599999999999983
120,0.48808,0.7879999999999981
120,0.338,0.7319999999999994
120,0.31412000000000007,0.7680000000000006
120,0.4040000000000001,0.8080000000000014
120,0.24311999999999998,0.6760000000000006
120,0.2791599999999999,0.6959999999999993
120,0.3536000000000002,0.6400000000000005
120,0.35356000000000004,0.716
125,0.39620000000000016,0.716
125,0.3554800000000001,0.7199999999999993
125,0.31508000000000014,0.6400000000000005
125,0.33552000000000004,0.6919999999999996
125,0.51028,0.7920000000000011
125,0.4001599999999999,0.7479999999999998
125,0.35536,0.7199999999999993
125,0.40284000000000014,0.7640000000000003
125,0.3709199999999999,0.7640000000000003
125,0.3116800000000001,0.6599999999999983
130,0.4210399999999999,0.7039999999999997
130,0.36608,0.7120000000000017
130,0.44916000000000006,0.7879999999999981
130,0.21780000000000002,0.6159999999999998
130,0.48484000000000016,0.7479999999999998
130,0.2921600000000001,0.5960000000000016
130,0.42068000000000005,0.7120000000000017
130,0.38132,0.7199999999999993
130,0.38919999999999993,0.7600000000000002
130,0.46584000000000036,0.7439999999999999
135,0.4628000000000001,0.7600000000000002
135,0.43904000000000015,0.7359999999999995
135,0.44351999999999997,0.664000000000001
135,0.46252000000000026,0.8080000000000014
135,0.45296,0.7920000000000011
135,0.3595600000000001,0.7039999999999997
135,0.29892,0.7479999999999998
135,0.42428000000000027,0.7399999999999999
135,0.4452,0.7239999999999991
135,0.37436,0.716
140,0.35248000000000007,0.7800000000000008
140,0.43404,0.7560000000000001
140,0.4631599999999998,0.7960000000000008
140,0.45128000000000024,0.7479999999999998
140,0.49428,0.7479999999999998
140,0.5012000000000002,0.8160000000000014
140,0.35832,0.7600000000000002
140,0.3525199999999999,0.7760000000000007
140,0.47879999999999984,0.7479999999999998
140,0.42475999999999997,0.7760000000000007
145,0.4357199999999997,0.7520000000000002
145,0.4672399999999999,0.7280000000000002
