edges,variation_of_information,runtime
100,1.61995247114,0.0027625894546508788
100,1.72166418749,0.00310992956161499
100,1.74694961579,0.002603893280029297
100,1.70288069312,0.002690243721008301
100,1.75262186236,0.002585046291351318
100,1.75658237659,0.0031279850006103514
100,1.74434396909,0.0025284147262573243
100,1.6285960814,0.003060898780822754
100,1.66805855086,0.002825725078582764
100,1.751504502,0.002621045112609863
150,1.68708340399,0.0027244114875793458
150,1.7930704298,0.0032506489753723142
150,1.75129430238,0.0032194852828979492
150,1.72477813364,0.002792675495147705
150,1.69217896374,0.0028804564476013184
150,1.65749741778,0.0027651071548461916
150,1.73894300375,0.0026505064964294435
150,1.64873971767,0.0026530003547668457
150,1.74697253306,0.0026774883270263674
150,1.7690086092,0.002751588821411133
200,1.62625488669,0.002985961437225342
200,1.72828001353,0.00319432258605957
200,1.62591870062,0.003168027400970459
200,1.6525351246,0.003072395324707031
200,1.71506857236,0.00331402063369751
200,1.70410350707,0.0031967401504516602
200,1.72460410596,0.0029568767547607424
200,1.68492483978,0.002794206142425537
200,1.73897095892,0.0029744863510131835
200,1.78936491788,0.003143305778503418
250,1.6529650284,0.0032400918006896973
250,1.60925502063,0.0032716822624206544
250,1.61803707464,0.0028784489631652832
250,1.56104794336,0.0031124162673950195
250,1.69073615896,0.003127589225769043
250,1.65370259087,0.0029540419578552245
250,1.68237660673,0.0035128045082092286
250,1.4316388077,0.0034366488456726075
250,1.69464428212,0.0043686842918396
250,1.76285373893,0.0030451917648315428
300,1.47241178935,0.003190810680389404
300,1.61093312858,0.0031607556343078613
300,1.60948862562,0.0031654143333435057
300,1.59166724952,0.0033385181427001954
300,1.61034418006,0.003415205478668213
300,1.71800269389,0.003191967010498047
300,1.61763680081,0.0034176111221313477
300,1.42594615177,0.0033149075508117675
300,1.57459624433,0.0039033079147338867
300,1.40661208318,0.003965730667114258
350,1.60987017671,0.0035903620719909667
350,1.44403697006,0.0035386753082275392
350,1.61433993036,0.0036380696296691895
350,1.65909647177,0.003415555953979492
350,1.52042414632,0.0033389759063720704
350,1.47185878377,0.003443562984466553
350,1.55427051556,0.0034302544593811037
350,1.60161002459,0.0032405948638916018
350,1.61243026046,0.003400588035583496
350,1.58217392089,0.003742358684539795
400,1.52586294078,0.004044435024261475
400,1.55377120143,0.00396014928817749
400,1.53666688951,0.003816101551055908
400,1.55324621308,0.008249242305755616
400,1.49644899131,0.0068967962265014645
400,1.54625436385,0.004609642028808594
400,1.49649569058,0.005113117694854737
400,1.51427712915,0.004802219867706299
400,1.29866882418,0.005366744995117187
400,1.47477835506,0.005305962562561035
450,1.47538517597,0.007628436088562012
450,1.48476992396,0.005534636974334717
450,1.53497555812,0.005362272262573242
450,1.52817963492,0.005013246536254883
450,1.58456598459,0.004480314254760742
450,1.46198233882,0.006519734859466553
450,1.38304555903,0.004556837081909179
450,1.3919670811,0.007108142375946045
450,1.2996806972,0.007942590713500976
450,1.34760733155,0.0060046958923339845
500,1.56269552779,0.009730443954467774
500,1.26507598727,0.005794625282287597
500,1.46642168226,0.006056585311889648
500,1.3864347969,0.006038277149200439
500,1.5273260588,0.005335783958435059
500,1.44089632164,0.006872134208679199
500,1.56840470129,0.008811686038970947
500,0.577029898864,0.007467615604400635
500,1.48764690297,0.005981583595275879
500,1.39322288688,0.005634536743164062
550,1.19312373141,0.005728766918182373
550,1.52253285295,0.005566649436950684
550,0.955923260809,0.005621144771575928
550,1.43227194573,0.0049743962287902834
550,1.45453696652,0.005420577526092529
550,1.43603670975,0.005429971218109131
550,1.48047212135,0.0054620313644409176
550,1.45330915872,0.005505843162536621
550,1.03960629192,0.005569212436676026
550,1.46446944676,0.005548017024993896
600,1.54369527954,0.0055444097518920895
600,1.55739068461,0.004092209339141846
600,1.53430531063,0.0039821028709411625
600,1.5573808646,0.003930041790008545
600,1.45711010163,0.004263391494750976
600,1.49962767007,0.004177682399749756
600,1.4759574297,0.004075832366943359
600,1.13120670669,0.004317910671234131
600,1.33860808436,0.004492595195770264
600,1.35480737146,0.003910572528839112
650,0.502511437158,0.00425955057144165
650,1.37596474802,0.004155302047729492
650,1.56857905329,0.004049069881439209
650,1.48149998763,0.0043553590774536135
650,1.34107187479,0.0041278481483459474
650,1.44255162708,0.0044715023040771485
650,1.50165449276,0.004105019569396973
650,1.33507156085,0.004297068119049072
650,1.46075724352,0.004324889183044434
650,1.38351493465,0.004196715354919433
700,1.39740237477,0.004329259395599365
700,1.27662531852,0.004560518264770508
700,1.33917597686,0.004443769454956055
700,1.25464361169,0.004595997333526611
700,1.29447675038,0.004326400756835938
700,1.19462974932,0.004271197319030762
700,1.19989039323,0.004637997150421142
700,1.19907086897,0.004379568099975586
700,1.46475854554,0.004585702419281006
700,1.35969644497,0.004535782337188721
750,1.33220473798,0.004367547035217285
750,1.39375494288,0.0047544527053833005
750,1.33447735263,0.004680197238922119
750,1.48738648328,0.004682426452636719
750,1.04770161488,0.004794762134552002
750,1.40936274011,0.004304862022399903
750,1.38988233099,0.004250113964080811
750,1.29122302034,0.004307327270507813
750,1.45380932294,0.004506533145904541
750,1.19910126973,0.00445521354675293
800,1.24194928437,0.0044992160797119145
800,1.33596660496,0.004552044868469238
800,1.4591533325,0.0060135841369628905
800,1.5152892259,0.00503230333328247
800,1.40037954851,0.004622740745544434
800,1.19398951345,0.004389398097991944
800,1.15458194765,0.0047928071022033695
