Rewire Probability,retrievability
0,0.9845
0,0.9739999999999999
0,0.9840000000000001
0,0.9875
0,0.9780000000000001
0,1.0
0,0.9904999999999999
0,0.9620000000000001
0,0.9905000000000002
0,0.9905000000000002
1,0.997
1,0.972
1,0.9780000000000001
1,0.945
1,0.9839999999999999
1,0.9880000000000001
1,0.965
1,0.9425000000000001
1,0.9840000000000001
1,0.968
2,0.9185000000000002
2,0.949
2,0.9335000000000002
2,0.9
2,0.945
2,0.9064999999999999
2,0.8965000000000001
2,0.9465
2,0.9175000000000001
2,0.9065000000000001
3,0.894
3,0.8705000000000002
3,0.9124999999999999
3,0.7720000000000001
3,0.7545000000000001
3,0.8255000000000006
3,0.7965000000000003
3,0.7930000000000003
3,0.7870000000000004
3,0.8090000000000004
4,0.7650000000000001
4,0.7445
4,0.8005000000000004
4,0.7740000000000002
4,0.7715000000000001
4,0.676999999999999
4,0.678499999999999
4,0.6729999999999988
4,0.679499999999999
4,0.7019999999999988
5,0.5809999999999991
5,0.6274999999999991
5,0.7019999999999988
5,0.6534999999999991
5,0.673999999999999
5,0.6355
5,0.616
5,0.6529999999999998
5,0.5125000000000004
5,0.43900000000000006
6,0.45000000000000007
6,0.45199999999999996
6,0.41850000000000004
6,0.4179999999999999
6,0.4420000000000001
6,0.46650000000000036
6,0.4565000000000002
6,0.43649999999999956
6,0.43949999999999967
6,0.43899999999999983
7,0.40099999999999997
7,0.4215
7,0.31500000000000006
7,0.2694999999999999
7,0.35850000000000004
7,0.223
7,0.31199999999999994
7,0.18649999999999994
7,0.221
7,0.22950000000000004
8,0.1804999999999999
8,0.15749999999999992
8,0.16699999999999982
8,0.1734999999999999
8,0.10349999999999993
8,0.08149999999999999
8,0.11249999999999995
8,0.17400000000000002
8,0.19349999999999998
8,0.21300000000000008
9,0.205
9,0.132
9,0.043
9,0.026999999999999996
9,-2.7755575615628914e-19
9,0.01900000000000001
9,0.05200000000000002
9,0.051000000000000004
9,0.06200000000000002
9,-0.05299999999999999
10,0.014000000000000014
10,8.881784197001253e-18
10,0.002000000000000011
10,0.005000000000000002
10,0.018000000000000013
10,-0.0019999999999999905
10,0.004000000000000008
10,-0.003999999999999991
10,0.021000000000000015
10,0.018000000000000006
11,0.00400000000000001
11,0.012000000000000012
11,0.010000000000000007
11,-0.01600000000000001
11,-0.011499999999999995
11,-0.03599999999999998
11,-0.051
11,-0.04499999999999999
11,-0.06200000000000002
11,-0.048999999999999974
12,-0.05
12,-0.03599999999999998
12,-0.030999999999999993
12,-0.04999999999999999
12,-0.041999999999999975
12,-0.04699999999999996
12,-0.044
12,-0.056999999999999995
12,-0.055999999999999994
12,-0.04499999999999999
13,-0.04599999999999998
13,-0.04999999999999999
13,-0.047
13,-0.05299999999999998
13,-0.046999999999999965
13,-0.10300000000000009
13,-0.11100000000000014
13,-0.25
13,-0.25
13,-0.25
14,-0.25
14,-0.25
14,-0.25
14,-0.25
14,-0.25
14,-0.25
14,-0.25
14,-0.25
14,-0.25
14,-0.25
15,-0.25
15,-0.25
15,-0.25
15,-0.25
15,-0.25
15,-0.25
15,-0.25
15,-0.25
15,-0.25
15,-0.25
16,-0.25
16,-0.25
16,-0.25
16,-0.25
16,-0.25
16,-0.25
16,-0.25
16,-0.25
16,-0.25
16,-0.25
17,-0.25
17,-0.25
17,-0.25
17,-0.25
17,-0.25
17,-0.25
17,-0.25
17,-0.25
17,-0.25
17,-0.25
18,-0.25
18,-0.25
18,-0.25
18,-0.25
18,-0.25
18,-0.25
18,-0.25
18,-0.25
18,-0.25
18,-0.25
19,-0.25
19,-0.25
19,-0.25
19,-0.25
19,-0.25
19,-0.25
19,-0.25
19,-0.25
19,-0.25
19,-0.25
20,-0.25
20,-0.25
20,-0.25
20,-0.25
20,-0.25
20,-0.25
20,-0.25
20,-0.25
20,-0.25
20,-0.25
21,-0.25
21,-0.25
21,-0.25
21,-0.25
21,-0.25
21,-0.25
21,-0.25
21,-0.25
21,-0.25
21,-0.25
22,-0.25
22,-0.25
22,-0.25
22,-0.25
22,-0.25
22,-0.25
22,-0.25
22,-0.25
22,-0.25
22,-0.25
23,-0.25
23,-0.25
23,-0.25
23,-0.25
23,-0.25
23,-0.25
23,-0.25
23,-0.25
23,-0.25
23,-0.25
24,-0.25
24,-0.25
24,-0.25
24,-0.25
24,-0.25
24,-0.25
24,-0.25
24,-0.25
24,-0.25
24,-0.25
