edges,retrievability
1,0.049999999999999906
1,0.3000000000000005
1,0.39999999999999925
1,0.30500000000000027
1,0.0
1,-0.25
1,0.04200000000000001
1,0.0
1,0.4500000000000004
1,0.09600000000000013
2,-0.15000000000000024
2,0.15000000000000024
2,-0.04400000000000001
2,-0.08600000000000002
2,-0.15000000000000024
2,-0.10100000000000012
2,-0.049999999999999906
2,0.2510000000000001
2,-0.083
2,0.29900000000000027
3,0.19699999999999995
3,-0.049999999999999906
3,-0.049999999999999906
3,-0.049999999999999906
3,0.199
3,-0.09999999999999981
3,-0.09300000000000005
3,-0.049999999999999906
3,0.15000000000000024
3,0.0
4,-0.1049999999999999
4,-0.040000000000000015
4,-0.19500000000000003
4,0.15799999999999972
4,-0.04300000000000002
4,0.05099999999999997
4,0.0
4,0.25000000000000017
4,0.0
4,-0.049999999999999906
5,0.15100000000000016
5,0.20299999999999993
5,-0.15000000000000024
5,0.20199999999999999
5,0.04899999999999999
5,-0.049999999999999906
5,0.15000000000000024
5,0.20299999999999996
5,0.015000000000000006
5,0.05499999999999998
6,0.26299999999999996
6,0.1399999999999998
6,0.04899999999999999
6,-0.09999999999999981
6,-0.03049999999999995
6,0.10650000000000015
6,-0.09999999999999981
6,0.07649999999999998
6,-0.009000000000000001
6,0.05700000000000003
7,-0.19999999999999962
7,-0.09800000000000007
7,0.005000000000000001
7,0.1570000000000001
7,-0.09300000000000008
7,-0.0030000000000000005
7,0.4570000000000004
7,-0.029999999999999995
7,-0.09999999999999981
7,0.12850000000000011
8,0.05500000000000003
8,-0.087
8,0.04699999999999997
8,0.0980000000000001
8,-0.20599999999999977
8,0.11199999999999985
8,0.09999999999999981
8,0.13700000000000012
8,0.243
8,-0.23599999999999988
9,0.14699999999999974
9,0.0940000000000001
9,-0.15000000000000024
9,0.25149999999999983
9,0.0
9,-0.11699999999999988
9,0.163
9,0.34200000000000025
9,0.35900000000000015
9,0.28400000000000003
10,-0.10299999999999988
10,0.25
10,0.008499999999999997
10,0.0900000000000001
10,0.2879999999999998
10,0.2510000000000001
10,0.2584999999999999
10,-0.001999999999999999
10,0.12200000000000001
10,-0.08800000000000002
11,0.10599999999999993
11,0.10700000000000001
11,0.19700000000000004
11,0.03400000000000005
11,-0.0019999999999999983
11,0.10349999999999998
11,0.15599999999999986
11,0.047000000000000014
11,0.13249999999999998
11,0.08400000000000009
12,0.03899999999999997
12,0.09300000000000011
12,0.15699999999999972
12,0.19799999999999998
12,0.13749999999999998
12,0.10099999999999992
12,0.15299999999999975
12,0.09700000000000006
12,0.16900000000000012
12,0.16349999999999995
13,0.2150000000000001
13,0.15350000000000005
13,0.21100000000000005
13,0.1569999999999998
13,0.38299999999999984
13,0.026999999999999993
13,0.14500000000000005
13,-0.11999999999999994
13,0.10400000000000013
13,-0.12299999999999998
14,0.07350000000000007
14,0.19200000000000003
14,0.1930000000000001
14,0.04400000000000002
14,0.26300000000000007
14,0.20699999999999993
14,0.37099999999999994
14,0.18400000000000002
14,0.21999999999999992
14,0.20200000000000007
15,0.3165000000000001
15,0.19200000000000003
15,0.12450000000000001
15,0.16749999999999995
15,0.26649999999999996
15,0.23150000000000012
15,-0.048
15,0.19400000000000006
15,0.16999999999999993
15,0.23699999999999996
16,0.17799999999999996
16,0.28500000000000014
16,0.3705000000000003
16,0.20749999999999996
16,0.15900000000000009
16,0.15600000000000008
16,0.09100000000000007
16,0.30199999999999994
16,-0.002
16,0.24499999999999997
17,0.17299999999999993
17,0.3279999999999999
17,0.12049999999999997
17,0.3290000000000002
17,0.02900000000000004
17,0.36750000000000016
17,0.2290000000000001
17,-0.20199999999999999
17,0.40999999999999986
17,0.13299999999999987
18,0.23800000000000002
18,0.14700000000000002
18,0.30050000000000016
18,0.09849999999999995
18,-0.2929999999999999
18,0.21750000000000014
18,0.324
18,0.08400000000000009
18,0.306
18,0.08900000000000004
19,0.1630000000000001
19,0.11800000000000013
19,0.10800000000000005
19,0.034500000000000024
19,0.26599999999999985
19,0.20799999999999985
19,0.16400000000000006
19,0.38800000000000023
19,0.24449999999999997
19,0.4619999999999999
20,0.46349999999999963
20,0.17949999999999988
20,0.19300000000000012
20,0.2734999999999999
20,0.03950000000000003
20,0.12149999999999997
20,0.42450000000000015
20,0.23899999999999996
20,0.26349999999999985
20,0.12399999999999999
21,-0.20199999999999996
21,0.11800000000000006
21,0.3669999999999999
21,0.33799999999999997
21,0.055
21,0.15949999999999986
21,-0.08800000000000002
21,0.03899999999999997
21,0.22500000000000003
21,0.09849999999999992
22,0.3329999999999999
22,0.3879999999999996
22,0.25449999999999995
22,0.07300000000000004
22,0.2975
22,0.06999999999999998
22,0.044999999999999964
22,0.2605
22,0.21850000000000006
22,0.23799999999999993
23,-0.04200000000000003
23,0.2979999999999998
23,0.05200000000000001
23,0.3859999999999995
23,0.3509999999999999
23,0.1369999999999998
23,0.25749999999999995
23,0.1385000000000001
23,0.5235000000000007
23,0.6009999999999991
24,-0.013000000000000001
24,0.23099999999999996
24,0.2015
24,0.15850000000000003
24,-0.018000000000000002
24,0.6160000000000001
24,0.05900000000000003
24,0.04099999999999998
24,0.29700000000000004
24,0.27499999999999986
25,0.3095000000000001
25,0.3789999999999996
25,0.3024999999999999
25,0.2964999999999998
25,0.21900000000000008
25,0.13299999999999992
25,0.23849999999999993
25,0.40999999999999986
25,0.5850000000000001
25,0.5364999999999995
26,0.4440000000000001
26,0.3445000000000001
26,0.19399999999999995
26,0.4049999999999998
26,-0.025999999999999995
26,0.41900000000000004
26,0.4675000000000004
26,0.40500000000000014
26,0.47850000000000015
26,0.5175000000000007
27,0.335
27,0.18300000000000016
27,0.2870000000000001
27,0.407
27,-0.11999999999999998
27,0.14399999999999977
27,0.025000000000000005
27,0.3764999999999998
27,0.5260000000000004
27,0.07300000000000001
28,0.4045
28,0.18699999999999992
28,0.3009999999999998
28,0.2969999999999999
28,0.3560000000000001
28,0.5660000000000007
28,0.5299999999999996
28,0.2609999999999996
