edges,Mutual Information of States,retrievability
284,0.0,1.0
284,0.0,1.0
284,0.0,1.0
284,0.0,1.0
284,0.0,1.0
284,0.0,1.0
284,0.0,1.0
284,0.0,1.0
284,0.0,1.0
284,0.0,1.0
284,0.406893306174,0.9599999999999984
284,0.400647732569,0.9599999999999984
284,0.403463880071,0.9599999999999984
284,0.403463880071,0.9599999999999984
284,0.396811890812,0.9599999999999984
284,0.400647732569,0.9599999999999984
284,0.400647732569,0.9599999999999984
284,0.385122946888,0.9599999999999984
284,0.406522191065,0.9599999999999984
284,0.405394275258,0.9599999999999984
284,0.794077286308,0.7544000000000011
284,0.794077286308,0.9200000000000014
284,0.637459623382,0.9640000000000006
284,0.799227676897,0.9200000000000014
284,0.786830707748,0.9200000000000014
284,0.653415497239,0.9640000000000005
284,0.794077286308,0.9200000000000014
284,0.786830707748,0.2960000000000002
284,0.804157482466,0.9200000000000014
284,0.764168580749,-0.6296000000000008
284,1.04142165876,0.921599999999999
284,1.03637095597,0.909599999999999
284,0.83498934622,0.9471999999999997
284,1.04017284573,0.9215999999999989
284,1.03637095597,0.920799999999999
284,1.03637095597,0.9327999999999987
284,0.793291124709,0.9363999999999996
284,1.04142165876,0.922399999999999
284,1.04017284573,0.922399999999999
284,1.04017284573,0.920799999999999
284,1.43224249672,0.9144000000000001
284,1.35127042366,0.9247999999999986
284,1.39523721935,0.3595999999999999
284,1.43454535557,0.9232000000000002
284,1.35127042366,0.9199999999999987
284,1.43224249672,0.9144000000000002
284,1.42521926301,0.9344000000000005
284,1.33316733738,0.4271999999999998
284,1.43224249672,0.9311999999999998
284,1.43224249672,0.9088
284,1.44203139083,0.8939999999999994
284,1.55939084538,0.8480000000000005
284,1.55939084538,0.9360000000000005
284,1.55939084538,0.9256000000000008
284,1.58345551236,0.9128000000000002
284,1.5536164247,0.9288000000000005
284,1.54175891203,0.7304000000000004
284,1.45851454897,0.8199999999999998
284,1.54175891203,0.8860000000000009
284,1.45851454897,0.8280000000000004
284,1.65160253523,0.9548000000000002
284,1.69036468295,0.9359999999999996
284,1.65507409707,0.8392000000000002
284,1.51028803161,0.7079999999999995
