Mutual Information of States,variation_of_information,retrievability
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0194520121526,1.0
0.0,0.0,1.0
0.0,0.0198483017041,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0194268318926,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0184757772959,0.9824
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.614115847518,0.0,0.9360000000000022
0.659950198511,0.0,0.9360000000000022
0.648988780754,0.0189132882513,0.9360000000000022
0.567832528017,0.0,0.9360000000000022
0.611377902489,0.0,0.932320000000002
0.643590164504,0.0,0.9360000000000022
0.615598023512,0.0,0.9360000000000022
0.612738654486,0.0,0.9360000000000022
0.659336233965,0.0,0.9360000000000022
0.611292206884,0.0,0.9360000000000022
0.659231444496,0.0,0.9360000000000022
0.613477861804,0.0,0.9360000000000022
0.644279421224,0.0,0.9360000000000022
0.660224553319,0.0,0.9360000000000022
0.659336233965,0.0,0.9360000000000022
0.623297900957,0.0,0.9360000000000022
0.643617004898,0.0,0.8476800000000009
0.614078644059,0.0,0.9360000000000022
0.535666832468,0.0,0.9360000000000022
0.657122327649,0.0,0.9360000000000022
0.624032239114,0.0,0.9360000000000022
0.584259351497,0.0,0.9360000000000022
0.611526960838,0.0,0.9360000000000022
0.659231444496,0.0,0.9360000000000022
0.63442703247,0.0,0.9360000000000022
0.647307958594,0.0,0.9360000000000022
0.659336233965,0.0,0.9360000000000022
0.612520467807,0.0,0.9360000000000022
0.660224553319,0.0,0.9360000000000022
0.634582860446,0.0,0.9360000000000022
1.15584966388,0.0,0.8368000000000019
1.13519981085,0.0,0.840000000000002
1.11955781026,0.0192177309869,0.840000000000002
1.13928055138,0.0,0.833600000000002
1.16863346657,0.0,0.840000000000002
1.16904426154,0.0,0.840000000000002
1.0913828944,0.243446653087,0.8479999999999993
1.20071244866,0.0,0.17439999999999994
1.15865973323,0.0,0.46960000000000085
1.09603767112,0.0145504475882,0.8355199999999993
1.15805488447,0.0182073077508,0.833600000000002
1.19108282156,0.0176855188378,0.840000000000002
1.08085423598,0.469262676584,0.840000000000002
1.17305840661,0.0,0.840000000000002
1.20382011868,0.0,0.840000000000002
1.18240201571,0.0,0.840000000000002
1.16206002767,0.0,0.8048000000000016
1.20898359827,0.177648491755,0.840000000000002
1.11488563923,0.243354098295,0.8479999999999991
1.17205317481,0.0,0.833600000000002
1.17917440683,0.0555958385018,0.840000000000002
1.18497851068,0.0,0.840000000000002
1.17936295399,0.0,0.840000000000002
1.16075548942,0.0,0.840000000000002
1.15195297013,0.0,0.840000000000002
1.07921570704,0.25912215158,0.8479999999999991
1.1785615768,0.0,0.840000000000002
1.19429804091,0.0,0.2935999999999997
1.17134837917,0.0,0.31039999999999973
1.13685736293,0.0,0.840000000000002
1.43750340011,0.0,0.7587200000000007
1.45078501364,0.0,0.7760000000000007
1.43646564109,0.249355097166,0.7760000000000007
1.35415463647,0.283236281998,0.7840000000000005
1.43213559127,0.0,0.7760000000000007
1.39222109843,0.241437742149,0.6110399999999995
1.41082196836,0.0,0.7760000000000007
1.38223411171,0.24316809277,0.7840000000000005
1.42076032938,0.0,0.7760000000000007
1.42294342323,0.0,0.7115200000000007
1.4092319028,0.243354098295,0.7840000000000005
1.3877945031,0.0,0.7644800000000006
1.36737222379,0.0194534474216,0.7760000000000007
1.44544653254,0.243446653087,0.7840000000000005
1.41790426846,0.0,0.7760000000000007
1.38645802811,0.242886815455,0.7840000000000005
1.44638976837,0.0168582106057,0.7760000000000007
1.39265763995,0.201829516999,0.7672800000000006
1.30088285248,0.240735753271,0.6924799999999999
1.3723570771,0.243446653087,0.7840000000000005
1.3663128073,0.24316809277,0.7840000000000005
1.37716906634,0.0,0.09312000000000006
1.41096560969,0.242026137921,0.6839999999999996
1.35941780998,0.0998131277658,0.7652000000000005
1.39742435884,0.0217823524129,0.6952800000000005
1.36395400084,0.0,0.7644800000000006
1.36086863721,0.0122067991852,0.6534400000000004
1.3944543247,0.0,0.7702400000000007
1.43357633168,0.0,0.6744800000000007
1.378010529,0.0,0.7760000000000007
1.61897327314,0.258143612183,0.678720000000001
1.59013332295,0.406522191065,0.6390399999999999
1.53335142749,0.405318507756,0.6959999999999993
1.65592035812,0.242886815455,0.6608000000000008
1.66301743945,0.482128326075,0.47615999999999986
1.52183645641,0.773275351233,0.7035200000000004
1.65739710041,0.0,0.6800000000000002
1.6496534707,0.240457947301,0.6719999999999986
1.64098489704,0.362670155048,0.7015199999999999
1.58014023035,0.485308075703,0.20831999999999995
