num_patterns,entropy_of_states,retrievability
1,0.0,0.46666666666666673
1,0.0,0.46666666666666673
1,0.0,-0.2566666666666671
1,0.0,0.533333333333333
1,0.0,0.5226666666666664
1,0.0,0.358666666666667
1,0.0,0.600000000000001
1,0.0,0.46666666666666673
1,0.0,0.568000000000001
1,0.0,0.4786666666666663
1,0.0,0.6666666666666659
1,0.0,0.35466666666666746
1,0.0,0.4906666666666665
1,0.0,0.733333333333334
1,0.0,0.533333333333333
1,0.0,0.5119999999999998
1,0.0,0.46666666666666673
1,0.0,0.31466666666666593
1,0.0,0.39999999999999925
1,0.0,0.5786666666666676
1,0.0,0.6666666666666659
1,0.0,0.733333333333334
1,0.0,0.5226666666666664
1,0.0,0.39999999999999925
1,0.0,0.14933333333333354
1,0.0,0.5146666666666674
1,0.0,-0.019333333333333324
1,0.0,0.39999999999999925
1,0.0,0.012000000000000016
1,0.0,0.5119999999999998
1,0.0,0.600000000000001
1,0.0,0.39999999999999925
1,0.0,0.5466666666666675
1,0.0,0.2666666666666665
1,0.0,0.533333333333333
1,0.0,0.5226666666666664
1,0.0,0.7999999999999985
1,0.0,0.39999999999999925
1,0.0,0.05266666666666658
1,0.0,0.6666666666666659
1,0.0,0.8013333333333325
1,0.0,0.533333333333333
1,0.0,0.4453333333333333
1,0.0,0.733333333333334
1,0.0,0.533333333333333
1,0.0,0.533333333333333
1,0.0,0.533333333333333
1,0.0,-0.10933333333333342
1,0.0,0.5786666666666676
1,0.0,0.46666666666666673
1,0.0,0.39999999999999925
1,0.0,0.733333333333334
1,0.0,-0.0026666666666666926
1,0.0,0.39999999999999925
1,0.0,0.600000000000001
1,0.0,0.39999999999999925
1,0.0,0.6666666666666659
1,0.0,0.7226666666666672
1,0.0,0.7013333333333339
1,0.0,0.600000000000001
1,0.0,0.600000000000001
1,0.0,0.3573333333333336
1,0.0,0.3573333333333334
1,0.0,0.28266666666666623
1,0.0,-0.14399999999999985
1,0.0,0.44133333333333336
1,0.0,0.2973333333333327
1,0.0,0.47999999999999987
1,0.0,0.533333333333333
1,0.0,0.39999999999999925
1,0.0,0.0626666666666667
1,0.0,0.533333333333333
1,0.0,0.456
1,0.0,0.32266666666666616
1,0.0,0.2559999999999997
1,0.0,0.4006666666666668
1,0.0,0.533333333333333
1,0.0,0.2560000000000003
1,0.0,0.3333333333333329
1,0.0,0.600000000000001
1,0.0,0.7173333333333339
1,0.0,0.6666666666666659
1,0.0,0.41333333333333305
1,0.0,0.20333333333333342
1,0.0,0.533333333333333
1,0.0,0.533333333333333
1,0.0,0.5633333333333342
1,0.0,0.6033333333333326
1,0.0,0.09533333333333333
1,0.0,0.47200000000000064
1,0.0,0.46666666666666673
1,0.0,0.39999999999999925
1,0.0,0.533333333333333
1,0.0,0.46133333333333404
1,0.0,0.6666666666666659
1,0.0,0.600000000000001
1,0.0,0.46666666666666673
1,0.0,0.19999999999999962
1,0.0,0.6666666666666659
1,0.0,0.17999999999999997
2,0.675464582451,0.619333333333333
2,0.546851992234,0.8569999999999998
2,0.636514168295,0.9796666666666667
2,0.670477648797,0.7083333333333327
2,0.664064126564,0.47633333333333333
2,0.692446396295,0.975
2,0.672495080719,0.8826666666666668
2,0.636514168295,0.69
2,0.666712220344,0.9036666666666666
2,0.455079044967,0.3046666666666669
2,0.36376719956,0.753
2,0.692241520067,1.0
2,0.0950301172556,0.7533333333333325
2,0.670008979827,0.7040000000000002
2,0.646953953237,0.6623333333333328
2,0.497500711396,0.8033333333333325
2,0.623654849568,0.8306666666666667
2,0.668248477665,0.8386666666666671
2,0.575443838018,0.9746666666666666
2,0.553098157164,0.9940000000000001
